a_Knight_Acc_Pauldron_Round_2	Highland Watch Pauldrons
a_Knight_Acc_Pauldron_Round_3	Marrowplate Pauldrons
a_Knight_Acc_Pauldron_Spike_3	Oathbreaker's Pauldrons
a_Knight_Arms_1	Recruit's Gauntlets
a_Knight_Arms_2	Foreman's Gauntlets
a_Knight_Arms_3	Gauntlets of the Colossus
a_Knight_Body_Armor_1	Recruit's Mail Vest
a_Knight_Body_Armor_2	Drakescale Vest
a_Knight_Body_Armor_3	Gravewarden's Breastplate
a_Knight_Feet_1	Recruit's Boots
a_Knight_Feet_2	Cairn Warden Boots
a_Knight_Feet_3	Undying Sabatons
a_Knight_Head_Armet_2	Brinewarden Helm
a_Knight_Head_Armet_3	Crown of Varn
a_Knight_Legs_1	Recruit's Leggings
a_Knight_Legs_2	Blackglass Legguards
a_Knight_Legs_3	Cryptlord Greaves
a_Noble_Acc_Pauldron_2	Reedweave Mantle
a_Noble_Acc_Pauldron_3	Broodsilk Mantle
a_Noble_Arms_1	Acolyte's Sleeves
a_Noble_Body_1	Acolyte's Vestment
a_Noble_Body_2	Pilgrim's Robe
a_Noble_Body_3	Tarnished Vestments
a_Noble_Feet_1	Acolyte's Shoes
a_Noble_Legs_1	Acolyte's Breeches
a_Ranger_Acc_Pauldron_3	Ashmaw Hide Mantle
a_Ranger_Body_2	Tarnished Jerkin
a_Ranger_Body_3	Grubhide Jerkin
a_Ranger_Feet_2	Landing Wader Boots
a_Ranger_Feet_3	Deathwalker Boots
a_Ranger_Head_Hood_2	Rat-Catcher's Cap
a_Ranger_Legs_2	Tarnished Breeches
a_Ranger_Legs_3	Tarnished Breeches
a_Wizard_Arms_1	Apprentice's Wraps
a_Wizard_Arms_2	Herbalist's Gloves
a_Wizard_Arms_3	Voidweave Handwraps
a_Wizard_Body_1	Apprentice's Robe
a_Wizard_Body_2	Tobiah's Oilskin
a_Wizard_Body_3	Hogtooth Hide Vest
a_Wizard_Feet_1	Apprentice's Sandals
a_Wizard_Feet_2	Drakehunter's Treads
a_Wizard_Feet_3	Voidstep Slippers
a_Wizard_Legs_1	Apprentice's Trousers
a_Wizard_Legs_2	Tarnished Leggings
a_Wizard_Legs_3	Voidweave Leggings
arrow	Guardian Arrow
arrow_broken	Broken Arrow
bat_wing	Leathery Bat Wing
bell	Lamb's Bell
blessing	Graves Blessed
bloom	Highland Bloom
bones	Bone Fragments
brimstone	Brimstone Chip
cask	Cask of Lamp Oil
chowder	Gullhaven Chowder
claw	Scratch's Claw
coin	Old Coin
compass	Wrecker's Trinket
core	Sentinel Core
crab_shell	Cracked Crab Shell
dispatch	Roark's Dispatch
driftwood	Dry Driftwood
dust	Temple Moth Dust
e_back	(empty back slot)
e_chest	(empty chest slot)
e_feet	(empty feet slot)
e_finger	(empty finger slot)
e_hands	(empty hands slot)
e_head	(empty head slot)
e_legs	(empty legs slot)
e_main_hand	(empty main_hand slot)
e_neck	(empty neck slot)
e_off_hand	(empty off_hand slot)
e_shoulders	(empty shoulders slot)
e_trinket	(empty trinket slot)
e_waist	(empty waist slot)
e_wrist	(empty wrist slot)
ear	Goblin Ear
egg	Chicken Egg
fang	Viper Fang
fang_charred	Charred Fang
fang_frost	Frozen Fang
feather	Hen Feather
fish	Salted Fish
fur	Matted Fur
g_belt	Tanned Belt
g_bracers	Hunter's Bracers
g_circlet_fire	Embersworn Circlet
g_circlet_frost	Circlet of Winter
g_circlet_gold	Runescribe's Circlet
g_circlet_void	Voidweave Circlet
g_cloak_fire	Ashworks Cloak
g_cloak_fur	Whitepelt Cloak
g_cloak_gold	Tarnished Cloak
g_cloak_hide	Rockjaw Hide Cloak
g_cloak_nature	Heather-Dyed Cloak
g_cloak_void	Cloak of the Unmade
g_cord_fire	Ashfall Cord
g_cord_frost	Icebound Girdle
g_cord_gold	Lantern Row Cord
g_cord_nature	Woodland Sash
g_cord_sea	Ferryman's Cord
g_cowl_gold	Bellringer's Cowl
g_cowl_sea	Siltveil Cowl
g_crown_bell	Gutbag's Bell-Crown
g_crown_bone	Bone King's Circlet
g_girdle_mail	Marshal's Girdle
g_girdle_plate	Chainlinked Girdle
g_gloves	Camp Cook's Gloves
g_wraps_fire	Cinderweave Wraps
g_wraps_gold	Inkstained Wraps
g_wraps_nature	Warden's Cuffs
g_wraps_sea	Saltstained Wraps
g_wraps_void	Lich-Hunter's Wraps
gland	Viper Venom Gland
goo	Maggot Goo
goo_void	Void Residue
hearth	Hearthstone
hide	Boar Hide
horn_chip	Chipped Khar Horn
ink	Sage's Ink
j_band_fire	Cinderheart Ring
j_band_gold	Old Raider's Band
j_band_nature	Ploughshare Ring
j_band_sea	Lakebound Band
j_band_void	Band of the Hollow Crown
j_beads	Vale's Prayer Beads
j_bell	The Merrow's Bell
j_charm	Warding Charm
j_pearl	Pearl of the Deep
j_pendant_fire	Ashen Pendant
j_pendant_frost	Winterheart Pendant
j_pendant_gold	Acolyte's Collar
j_pendant_nature	Warden's Pendant
j_pendant_void	The Silent Word
j_signet_fire	Emberheart Signet
j_signet_gold	Signet of House Varn
j_signet_nature	Mirewarden's Signet
j_signet_sea	Saltstone Signet
j_signet_void	Last Watch Signet
key_iron	Skarr's Key
key_void	Sanctum Key
ledger	Khar Ledger
letter	Rowan's Letter
locket	Drowned Locket
m_bar_1	Copper Bar
